Id;u_min;u_max;u_mean;sentiment;Cat;Label
p1911;0;26;13.0;1.0;pid;p1911
p1912;1;10;4.33;1.0;pid;p1912
p1913;-1;115;27.23;2.0;pid;p1913
p1914;-7;-7;-7.0;1.0;pid;p1914
p1915;2;2;2.0;1.0;pid;p1915
p1916;3;44;14.89;1.0;pid;p1916
p1917;1;1;1.0;1.0;pid;p1917
p1918;-5;-5;-5.0;1.0;pid;p1918
p1919;1;1;1.0;1.0;pid;p1919
p192;16;16;16.0;2.0;pid;p192
p1920;1;1;1.0;2.0;pid;p1920
p1921;1;1;1.0;2.0;pid;p1921
p1922;-25;78;10.6;2.0;pid;p1922
p1923;-4;4;0.0;1.0;pid;p1923
p1924;-2;116;16.45;1.0;pid;p1924
p1925;1;1;1.0;2.0;pid;p1925
p1926;1;1;1.0;1.0;pid;p1926
p1927;0;35;7.25;1.0;pid;p1927
p1928;2;5;3.33;1.0;pid;p1928
p1929;1;1;1.0;1.0;pid;p1929
p193;23;23;23.0;0.0;pid;p193
p1930;1;1;1.0;2.0;pid;p1930
p1931;-1;4;1.75;0.0;pid;p1931
p1932;2;2;2.0;2.0;pid;p1932
p1933;1;1;1.0;1.0;pid;p1933
p1934;1;1;1.0;1.0;pid;p1934
p1935;1;1;1.0;2.0;pid;p1935
p1936;1;12;4.5;1.0;pid;p1936
p1937;2;3;2.5;2.0;pid;p1937
p1938;3;3;3.0;2.0;pid;p1938
p1939;2;2;2.0;1.0;pid;p1939
p194;4;4;4.0;2.0;pid;p194
p1940;1;1;1.0;1.0;pid;p1940
p1941;-44;143;23.81;;pid;p1941
p1942;11;11;11.0;0.0;pid;p1942
p1943;0;1;0.33;0.0;pid;p1943
p1944;1;1;1.0;0.0;pid;p1944
p1945;2;7;4.5;2.0;pid;p1945
p1946;-1;-1;-1.0;0.0;pid;p1946
p1947;1;1;1.0;1.0;pid;p1947
p1948;1;1;1.0;2.0;pid;p1948
p1949;1;1;1.0;1.0;pid;p1949
p195;4;17;10.5;1.0;pid;p195
p1950;1;1;1.0;1.0;pid;p1950
p1951;1;1;1.0;1.0;pid;p1951
p1952;1;3;2.0;2.0;pid;p1952
p1953;1;3;2.0;0.0;pid;p1953
p1954;8;8;8.0;0.0;pid;p1954
p1955;4;4;4.0;0.0;pid;p1955
p1956;7;7;7.0;0.0;pid;p1956
p1957;-2;-2;-2.0;2.0;pid;p1957
p1958;2;2;2.0;0.0;pid;p1958
p1959;1;1;1.0;0.0;pid;p1959
p196;106;106;106.0;1.0;pid;p196
p1960;-3;-3;-3.0;0.0;pid;p1960
p1961;5;5;5.0;0.0;pid;p1961
p1962;1;5;2.5;2.0;pid;p1962
p1963;-4;16;5.43;1.0;pid;p1963
p1964;1;1;1.0;0.0;pid;p1964
p1965;2;2;2.0;0.0;pid;p1965
p1966;1;1;1.0;1.0;pid;p1966
p1967;1;18;11.33;0.0;pid;p1967
p1968;-8;5;0.5;2.0;pid;p1968
p1969;-9;48;11.85;2.0;pid;p1969
p197;2;23;12.5;0.0;pid;p197
p1970;-1;1;0.0;2.0;pid;p1970
p1971;-5;17;6.0;1.0;pid;p1971
p1972;-18;85;8.4;;pid;p1972
p1973;2;4;3.0;1.0;pid;p1973
p1974;1;1;1.0;0.0;pid;p1974
p1975;1;7;5.0;2.0;pid;p1975
p1976;1;1;1.0;1.0;pid;p1976
p1977;2;2;2.0;1.0;pid;p1977
p1978;1;1;1.0;0.0;pid;p1978
p1979;1;2;1.5;0.0;pid;p1979
p198;1;1;1.0;0.0;pid;p198
p1980;0;0;0.0;1.0;pid;p1980
p1981;1;1;1.0;0.0;pid;p1981
p1982;1;1;1.0;1.0;pid;p1982
p1983;1;1;1.0;;pid;p1983
p1984;1;1;1.0;1.0;pid;p1984
p1985;5;5;5.0;1.0;pid;p1985
p1986;-1;11;3.0;0.0;pid;p1986
p1987;1;1;1.0;1.0;pid;p1987
p1988;6;6;6.0;2.0;pid;p1988
p1989;1;1;1.0;2.0;pid;p1989
p199;1;1;1.0;;pid;p199
p1990;1;1;1.0;0.0;pid;p1990
p1991;3;7;5.0;0.0;pid;p1991
p1992;1;33;10.8;0.0;pid;p1992
p1993;1;1;1.0;0.0;pid;p1993
p1994;0;3;1.5;0.0;pid;p1994
p1995;1;1;1.0;;pid;p1995
p1996;1;109;22.67;0.0;pid;p1996
p1997;0;0;0.0;;pid;p1997
p1998;1;1;1.0;;pid;p1998
p1999;1;1;1.0;;pid;p1999
p2;2;2;2.0;;pid;p2
p20;8;13;11.0;;pid;p20
p200;10;26;18.0;;pid;p200
p2000;1;1;1.0;;pid;p2000
p2001;1;2;1.5;;pid;p2001
p2002;1;1;1.0;1.0;pid;p2002
p2003;1;1;1.0;1.0;pid;p2003
p2004;0;1;0.5;1.0;pid;p2004
p2005;1;3;1.7;1.0;pid;p2005
p2006;0;0;0.0;2.0;pid;p2006
p2007;5;5;5.0;1.0;pid;p2007
p2008;1;1;1.0;1.0;pid;p2008
p2009;1;1;1.0;0.0;pid;p2009
